ns 0	So much nonsense ; where got time with NS
ns 0	I just wanna ride off to Gardens By The Bay now just chill but unfortunately Im in camp .
ns 0	@padilou11 Israel always equip its army for the war ; especially after the Israeli elections or before ; they gain election to kill us
ns 0	All my male friends talking about NS life ; and here I am totally not understanding shit .
ns 0	I seriously need reprioritizing . Shouldn't put relationship first . Revolving my life around a Ns guy like him ; makes me a lonely mofo .
ns 0	It sucks that its EVERYBODY's off day except mine . The maids ; the banglas ; the tiongs ; the NS men etc .
ns 0	NS is so depressing .
ns 0	i can't believe that im gonna end my ns less than a month . haisss hard to find job
ns 0	@AzlanAthni $ 800 but still wtf I like serving ns or something Sia
ns 0	Back to 5days of ns again .. z
ns 0	Zzzzzzz . Fucking ns burden shit .
ns 0	@Gossipbitchas ns end don't talk bout it . Think also sad .
ns 0	Book out alr also no plans so boring ; rather stay in !
ns 0	Hospitalization ; NS check up and weekend getaway with family on top of increasing schoolwork . Next 2 weeks gonna be crazy .
ns 0	My tan lines are ridiculous . NS needs to pay for this . Lol ... bitch
ns 0	You make th ns guy look bad when he sits .. and when he gave up his seat and stand ; you quickly rush and seat ? Pull off th tie @ your collar !
ns 0	Saf recruits are a bunch of fucking wussies . Always complaining about stupid dumb shit . This is why NS is needed to toughen you softies up .
ns 0	@ejazhaider @MadihaAfzal but what do we have ? Almost rudderless right now . #ThankyouRaheelSharif bound to fail . NS not expected to improve
ns 0	You talk so fucking much for a guy that does nothing . NS abit pointless for you ah
ns 0	last otp before he's off to NS :'(
ns 0	C E N T U R I O N S / / 7 weeks with all these nonsense people ; just make NS a lil ' better to go thru
ns 0	my intern is going to like a life of a NS men D:
ns 0	so awkward doing a flight ; serving NS boys
ns 0	Tired ( @ Home Team NS Swimming Pool in Singapore )
ns 0	Ns is such a wasting of time
ns 0	Working with anna and jasri ; can become crazy . hahahaha . Sadly jasri has to go ns soon ;(
ns 0	WTF MY BUBS BDAY NEXT YEAR IS ON A WEEK DAY . I wonder if I can get out of camp . #fuckns
ns 0	Ns are over but fk my maths
ns 0	I wish NS gives me bears too ... When I ORD #PolyGiveMeBear #GraduationBear @ wtf am i captioning ? !
ns 0	@shxrlene nah man :( NS pay too shit already
ns 0	I WANT GET A PHOTO WITH EYECANDY BEFORE HE SERVE NS LEY :( ! ! !
ns 0	I just change my damn singpass password and it says incorrect password wth is going on man NS portal !
ns 0	Ns suck thumbs .
ns 0	@fyjunhyeok I was debating to go there during their 1 year of anniversary and pass Jae his Pokemon DS3 for him but idk when my Ns end :(
ns 0	The government's NS portal is stupid . I've forgotten my SingPass ID ; trying to retrieve it ; but the links are going nowhere
ns 0	@iqker_marl Trust me ; Friends is what makes NS enjoyable . HAIS gonna miss all of them
ns 0	I thought there wont be anymore tests coming my way when i finished school but NO even during ns there's tests and shits ! Fuck this man
